experiment	step	object	min_words	word_id	markable	image_path
B37-A46-C33-1523305851116	33	blocks a, d, b, e, c	None	153	markable_100	images/b37-a46-c33-1523305851116_33.png
B37-A46-C33-1523305851116	48	block e	block	224	markable_44	images/b37-a46-c33-1523305851116_48.png
B37-A46-C33-1523305851116	63	blocks i, b, h, c	None	285	markable_133	images/b37-a46-c33-1523305851116_63.png
B37-A46-C33-1523305851116	71	block e	None	319	markable_143	images/b37-a46-c33-1523305851116_71.png
B37-A46-C33-1523305851116	78	blocks i, b, c	None	335	markable_146	images/b37-a46-c33-1523305851116_78.png
B54-A1-C144-1523979171030	46	block a	None	101	markable_88	images/b54-a1-c144-1523979171030_46.png
B3-A16-C20-1523400381488	202	block a	None	428	markable_323	images/b3-a16-c20-1523400381488_202.png
B3-A16-C20-1523400381488	199	block a	None	407	markable_317	images/b3-a16-c20-1523400381488_199.png
B3-A16-C20-1523400381488	210	block l	None	488	markable_339	images/b3-a16-c20-1523400381488_210.png
B3-A16-C20-1523400381488	227	block a	None	535	markable_350	images/b3-a16-c20-1523400381488_227.png
B3-A16-C20-1523400381488	232	block o	None	588	markable_366	images/b3-a16-c20-1523400381488_232.png
B3-A16-C20-1523400381488	232	block g	None	574	markable_365	images/b3-a16-c20-1523400381488_232.png
B3-A16-C20-1523400381488	255	block n	None	675	markable_397	images/b3-a16-c20-1523400381488_255.png
B3-A16-C20-1523400381488	183	block o	None	379	markable_312	images/b3-a16-c20-1523400381488_183.png
B47-A30-C23-1523544822631	93	block g, l	None	305	markable_163	images/b47-a30-c23-1523544822631_93.png
B47-A30-C23-1523544822631	112	block q, r	None	355	markable_171	images/b47-a30-c23-1523544822631_112.png
B47-A30-C23-1523544822631	67	block f, e, c, h	None	209	markable_137	images/b47-a30-c23-1523544822631_67.png
B47-A30-C23-1523544822631	93	blocks l, d, b, e, r, g	None	297	markable_159	images/b47-a30-c23-1523544822631_93.png
B35-A55-C153-1524257976842	124	block e	None	402	markable_203	images/b35-a55-c153-1524257976842_124.png
B35-A55-C153-1524257976842	98	blocks a, d	None	305	markable_177	images/b35-a55-c153-1524257976842_98.png
B35-A55-C153-1524257976842	106	block d	None	329	markable_180	images/b35-a55-c153-1524257976842_106.png
B35-A55-C153-1524257976842	76	block i	None	238	markable_7	images/b35-a55-c153-1524257976842_76.png
B35-A55-C153-1524257976842	121	block b	None	389	markable_198	images/b35-a55-c153-1524257976842_121.png
B35-A55-C153-1524257976842	102	block c	None	313	markable_8	images/b35-a55-c153-1524257976842_102.png
B35-A55-C153-1524257976842	66	block b	None	226	markable_151	images/b35-a55-c153-1524257976842_66.png
B35-A55-C153-1524257976842	82	block e	None	259	markable_159	images/b35-a55-c153-1524257976842_82.png
B35-A55-C153-1524257976842	76	blocks h, e, g, b	None	243	markable_154	images/b35-a55-c153-1524257976842_76.png
B42-A12-C79-1523305466875	62	blocks a, b, d, f	None	162	markable_71	images/b42-a12-c79-1523305466875_62.png
B42-A12-C79-1523305466875	33	block a	None	87	markable_52	images/b42-a12-c79-1523305466875_33.png
B42-A12-C79-1523305466875	48	block a	None	117	markable_57	images/b42-a12-c79-1523305466875_48.png
B49-A39-C79-1523769585238	35	block a	None	184	markable_100	images/b49-a39-c79-1523769585238_35.png
B49-A39-C79-1523769585238	37	block a	None	186	markable_101	images/b49-a39-c79-1523769585238_37.png
B49-A39-C79-1523769585238	49	block c	None	244	markable_113	images/b49-a39-c79-1523769585238_49.png
B36-A38-C25-1524262247384	40	a	block	172	markable_30	images/b36-a38-c25-1524262247384_40.png
B36-A38-C25-1524262247384	47	c	block	200	markable_33	images/b36-a38-c25-1524262247384_47.png
B36-A38-C25-1524262247384	35	a	that	153	markable_48	images/b36-a38-c25-1524262247384_35.png
B38-A28-C23-1522947094778	148	blocks h, g	None	437	markable_246	images/b38-a28-c23-1522947094778_148.png
B38-A28-C23-1522947094778	156	block a	None	476	markable_257	images/b38-a28-c23-1522947094778_156.png
B38-A28-C23-1522947094778	162	blocks a, b	None	498	markable_263	images/b38-a28-c23-1522947094778_162.png
B38-A28-C23-1522947094778	180	blocks e, f	None	571	markable_285	images/b38-a28-c23-1522947094778_180.png
B38-A28-C23-1522947094778	134	blocks a, b	everything	362	markable_73	images/b38-a28-c23-1522947094778_134.png
B38-A28-C23-1522947094778	200	blocks f, b	None	616	markable_295	images/b38-a28-c23-1522947094778_200.png
B38-A28-C23-1522947094778	79	blocks p, b	None	254	markable_196	images/b38-a28-c23-1522947094778_79.png
B38-A28-C23-1522947094778	30	blocks a, b	purple	135	markable_40	images/b38-a28-c23-1522947094778_30.png
B29-A34-C102-1524255312019	40	block a	None	144	markable_79	images/b29-a34-c102-1524255312019_40.png
B29-A34-C102-1524255312019	26	blocks a, b, c, d	oragne	109	markable_21	images/b29-a34-c102-1524255312019_26.png
B29-A34-C102-1524255312019	25	blocks b, d	None	89	markable_63	images/b29-a34-c102-1524255312019_25.png
B29-A34-C102-1524255312019	20	block a	None	60	markable_52	images/b29-a34-c102-1524255312019_20.png
B29-A8-C14-1522863579292	27	blocks a, b, c, d	None	73	markable_41	images/b29-a8-c14-1522863579292_27.png
B29-A8-C14-1522863579292	32	blocks a, b, c, d	None	85	markable_48	images/b29-a8-c14-1522863579292_32.png
B4-A40-C153-1523983188276	94	block h	None	287	markable_122	images/b4-a40-c153-1523983188276_94.png
B4-A40-C153-1523983188276	89	blocks e, g, h, a, f, c, d, b	None	255	markable_114	images/b4-a40-c153-1523983188276_89.png
B4-A40-C153-1523983188276	88	block i	None	245	markable_111	images/b4-a40-c153-1523983188276_88.png
B44-A15-C118-1523891056167	67	block g, a, f	we	329	markable_61	images/b44-a15-c118-1523891056167_67.png
B44-A15-C118-1523891056167	64	block c, b	side	311	markable_57	images/b44-a15-c118-1523891056167_64.png
B44-A15-C118-1523891056167	54	blocks a, c, b	block	261	markable_49	images/b44-a15-c118-1523891056167_54.png
B44-A15-C118-1523891056167	45	blocks b, c, a	None	227	markable_120	images/b44-a15-c118-1523891056167_45.png
B44-A15-C118-1523891056167	67	blocks b, e	None	324	markable_143	images/b44-a15-c118-1523891056167_67.png
B16-A26-C94-1524155062504	51	a	one	175	markable_41	images/b16-a26-c94-1524155062504_51.png
B35-A34-C118-1524004322117	103	blocks c, d	None	228	markable_131	images/b35-a34-c118-1524004322117_103.png
B35-A34-C118-1524004322117	107	blocks a, b, c	None	242	markable_135	images/b35-a34-c118-1524004322117_107.png
B35-A34-C118-1524004322117	113	block b	None	266	markable_146	images/b35-a34-c118-1524004322117_113.png
B15-A27-C37-1522969243496	32	c	yellow	102	markable_79	images/b15-a27-c37-1522969243496_32.png
B15-A27-C37-1522969243496	28	b	yellow	85	markable_77	images/b15-a27-c37-1522969243496_28.png
B15-A27-C37-1522969243496	49	b,c,a,c	top	144	markable_87	images/b15-a27-c37-1522969243496_49.png
B1-A4-C37-1522773058751	18	a	side	58	markable_85	images/b1-a4-c37-1522773058751_18.png
B3-A2-C14-1522444981929	33	blocks a, b	None	122	markable_57	images/b3-a2-c14-1522444981929_33.png
B29-A34-C99-1524258300702	62	block a	None	176	markable_114	images/b29-a34-c99-1524258300702_62.png
B3-A2-C11-1522448586382	74	block c	None	262	markable_126	images/b3-a2-c11-1522448586382_74.png
B3-A2-C11-1522448586382	82	blocks a, b	None	292	markable_138	images/b3-a2-c11-1522448586382_82.png
B3-A2-C11-1522448586382	80	block f	None	282	markable_135	images/b3-a2-c11-1522448586382_80.png
B3-A2-C11-1522448586382	49	block a	None	171	markable_99	images/b3-a2-c11-1522448586382_49.png
B3-A2-C11-1522448586382	30	blocks d, f, c, e	None	116	markable_80	images/b3-a2-c11-1522448586382_30.png
B35-A44-C94-1523650963951	74	blocks a, b, c, d, e, f, g, h	None	254	markable_120	images/b35-a44-c94-1523650963951_74.png
B35-A44-C94-1523650963951	54	block a	None	182	markable_100	images/b35-a44-c94-1523650963951_54.png
B35-A44-C94-1523650963951	52	block a	None	172	markable_97	images/b35-a44-c94-1523650963951_52.png
B35-A44-C94-1523650963951	64	blocks a, b, c, d, e, f, g, h	None	219	markable_111	images/b35-a44-c94-1523650963951_64.png
B35-A55-C1-1524259025186	94	block g	None	223	markable_144	images/b35-a55-c1-1524259025186_94.png
B35-A55-C1-1524259025186	94	block h	None	220	markable_143	images/b35-a55-c1-1524259025186_94.png
B35-A55-C1-1524259025186	111	blocks a, g, h, d	None	247	markable_145	images/b35-a55-c1-1524259025186_111.png
B35-A55-C33-1524257297071	116	block c	None	357	markable_170	B35-A55-C33-1524257297071_116.png
B35-A55-C33-1524257297071	130	block a	None	391	markable_184	images/b35-a55-c33-1524257297071_130.png
B35-A55-C33-1524257297071	55	blocks c, e	None	127	markable_117	images/b35-a55-c33-1524257297071_55.png
B35-A55-C33-1524257297071	104	blocks f, c, g	block	278	markable_48	images/b35-a55-c33-1524257297071_104.png
B35-A55-C33-1524257297071	64	block b	None	148	markable_121	images/b35-a55-c33-1524257297071_64.png
B35-A55-C33-1524257297071	55	block a	None	134	markable_119	images/b35-a55-c33-1524257297071_55.png
B35-A55-C33-1524257297071	78	blocks e, f, c	part	184	markable_31	images/b35-a55-c33-1524257297071_78.png
B35-A55-C33-1524257297071	75	blocks a, b, d, e	None	177	markable_129	images/b35-a55-c33-1524257297071_75.png
B34-A38-C37-1524090913676	42	block i	None	162	markable_99	images/b34-a38-c37-1524090913676_42.png
B34-A38-C37-1524090913676	28	blocks c, d, e, f, e, a, b, j, g, d, c, f, h, i, a, b, c, d	None	120	markable_89	images/b34-a38-c37-1524090913676_28.png
B44-A15-C128-1523894700099	17	block a	None	61	markable_74	images/b44-a15-c128-1523894700099_17.png
B44-A15-C128-1523894700099	54	blocks d, f	None	181	markable_100	images/b44-a15-c128-1523894700099_54.png
B44-A15-C128-1523894700099	40	block d	None	127	markable_4	images/b44-a15-c128-1523894700099_40.png
B44-A15-C128-1523894700099	51	blocks b, c	None	173	markable_98	images/b44-a15-c128-1523894700099_51.png
B44-A15-C128-1523894700099	61	block a	None	220	markable_111	images/b44-a15-c128-1523894700099_61.png
B42-A4-C66-1524081116735	43	block a	None	152	markable_122	images/b42-a4-c66-1524081116735_43.png
B42-A4-C66-1524081116735	82	blocks a, d, i, h, j, g, c, e	None	243	markable_141	images/b42-a4-c66-1524081116735_82.png
B42-A4-C66-1524081116735	37	block a	None	133	markable_115	images/b42-a4-c66-1524081116735_37.png
B37-A23-C102-1523629957597	30	blocks c, d	None	137	markable_73	images/b37-a23-c102-1523629957597_30.png
B37-A23-C102-1523629957597	38	block d	None	182	markable_85	images/b37-a23-c102-1523629957597_38.png
B37-A23-C102-1523629957597	24	block a	None	98	markable_62	images/b37-a23-c102-1523629957597_24.png
B37-A23-C102-1523629957597	30	block a	block	143	markable_27	images/b37-a23-c102-1523629957597_30.png
B37-A23-C102-1523629957597	48	block a	None	233	markable_106	images/b37-a23-c102-1523629957597_48.png
B37-A23-C102-1523629957597	43	block b	None	206	markable_93	images/b37-a23-c102-1523629957597_43.png
B37-A23-C102-1523629957597	33	block c	None	164	markable_80	images/b37-a23-c102-1523629957597_33.png
B47-A30-C35-1523548092310	39	block c	None	184	markable_79	images/b47-a30-c35-1523548092310_39.png
B47-A30-C35-1523548092310	31	block a	one	153	markable_34	B47-A30-C35-1523548092310_31.png
B47-A30-C35-1523548092310	39	block a	block	180	markable_38	images/b47-a30-c35-1523548092310_39.png
B47-A30-C35-1523548092310	19	block b	None	98	markable_4	images/b47-a30-c35-1523548092310_19.png
B1-A3-C2-1522434666266	57	g,o,p,m,r,j,k,c,e,b,t,a,g,h,f,d,s,n	ring	228	markable_128	images/b1-a3-c2-1522434666266_57.png
B37-A46-C62-1523308403242	41	blocks b, k	None	149	markable_78	images/b37-a46-c62-1523308403242_41.png
B1-A3-C4-1522432009099	29	a	block	171	markable_37	images/b1-a3-c4-1522432009099_29.png
B3-A2-C23-1522447244858	80	blocks c, i, s, n	None	256	markable_166	images/b3-a2-c23-1522447244858_80.png
B3-A2-C23-1522447244858	120	blocks b, c	None	383	markable_200	images/b3-a2-c23-1522447244858_120.png
B3-A2-C23-1522447244858	109	blocks h, d, j, i, b, c, g, l	None	329	markable_183	images/b3-a2-c23-1522447244858_109.png
B3-A2-C23-1522447244858	44	block a	None	144	markable_135	images/b3-a2-c23-1522447244858_44.png
B3-A2-C23-1522447244858	55	block b	None	182	markable_149	images/b3-a2-c23-1522447244858_55.png
B29-A8-C1-1522863856364	44	block e	None	93	markable_70	images/b29-a8-c1-1522863856364_44.png
B29-A8-C1-1522863856364	63	blocks c, d, e	None	135	markable_82	images/b29-a8-c1-1522863856364_63.png
B42-A12-C33-1523308506692	10	blocks a, a	None	30	markable_60	images/b42-a12-c33-1523308506692_10.png
B42-A12-C33-1523308506692	68	blocks e, b	None	166	markable_91	images/b42-a12-c33-1523308506692_68.png
B36-A38-C66-1524262976017	106	blocks i, d	None	394	markable_167	images/b36-a38-c66-1524262976017_106.png
B15-A38-C1-1523399524945	44	a	that	139	markable_21	images/b15-a38-c1-1523399524945_44.png
B52-A27-C102-1523662795472	83	block d	thanks	197	markable_33	images/b52-a27-c102-1523662795472_83.png
B52-A27-C102-1523662795472	109	block b	None	280	markable_143	images/b52-a27-c102-1523662795472_109.png
B52-A27-C102-1523662795472	69	blocks h, b, c	None	165	markable_102	images/b52-a27-c102-1523662795472_69.png
B52-A27-C102-1523662795472	109	block c	None	287	markable_145	images/b52-a27-c102-1523662795472_109.png
B52-A27-C102-1523662795472	65	blocks h, g, b, d, m, i, j, f, e, k	None	153	markable_98	images/b52-a27-c102-1523662795472_65.png
B52-A27-C102-1523662795472	65	blocks k, e, f	None	156	markable_99	images/b52-a27-c102-1523662795472_65.png
B52-A27-C102-1523662795472	91	blocks b, c, a	None	227	markable_117	images/b52-a27-c102-1523662795472_91.png
B52-A27-C102-1523662795472	83	blocks c, b, a, d	None	191	markable_108	images/b52-a27-c102-1523662795472_83.png
B52-A27-C102-1523662795472	114	block c	sides	302	markable_45	images/b52-a27-c102-1523662795472_114.png
B35-A34-C128-1524005064637	112	block d	None	334	markable_172	images/b35-a34-c128-1524005064637_112.png
B35-A34-C128-1524005064637	122	blocks a, b	None	363	markable_182	images/b35-a34-c128-1524005064637_122.png
B35-A34-C128-1524005064637	44	block b	None	152	markable_115	images/b35-a34-c128-1524005064637_44.png
B35-A34-C128-1524005064637	50	blocks a, b	purple	163	markable_40	images/b35-a34-c128-1524005064637_50.png
B35-A34-C128-1524005064637	56	block a	None	177	markable_120	images/b35-a34-c128-1524005064637_56.png
B35-A34-C128-1524005064637	61	block a	None	191	markable_126	images/b35-a34-c128-1524005064637_61.png
B35-A34-C128-1524005064637	64	block a	None	201	markable_131	images/b35-a34-c128-1524005064637_64.png
B35-A34-C128-1524005064637	90	block b	None	266	markable_147	images/b35-a34-c128-1524005064637_90.png
B35-A34-C128-1524005064637	24	block a	None	82	markable_92	images/b35-a34-c128-1524005064637_24.png
B35-A34-C128-1524005064637	96	blocks a, b	None	292	markable_158	images/b35-a34-c128-1524005064637_96.png
B1-A44-C48-1523037288443	29	a	one	123	markable_36	B1-A44-C48-1523037288443_29.png
B1-A44-C48-1523037288443	20	b	block	94	markable_33	images/b1-a44-c48-1523037288443_20.png
B12-A26-C12-1522941391204	26	a	block	107	markable_29	images/b12-a26-c12-1522941391204_26.png
B29-A26-C35-1523375743673	16	block b	brick	68	markable_19	images/b29-a26-c35-1523375743673_16.png
B29-A26-C35-1523375743673	28	block c	one	103	markable_25	images/b29-a26-c35-1523375743673_28.png
B29-A26-C35-1523375743673	29	block a	None	106	markable_67	images/b29-a26-c35-1523375743673_29.png
B29-A26-C35-1523375743673	35	blocks c, a, b	None	126	markable_96	images/b29-a26-c35-1523375743673_35.png
B29-A26-C35-1523375743673	47	block b	None	184	markable_83	images/b29-a26-c35-1523375743673_47.png
B29-A26-C35-1523375743673	13	block a	None	52	markable_8	images/b29-a26-c35-1523375743673_13.png
B29-A26-C35-1523375743673	47	block c	None	191	markable_85	images/b29-a26-c35-1523375743673_47.png
B47-A30-C36-1523546973724	71	block h	None	225	markable_123	images/b47-a30-c36-1523546973724_71.png
B47-A30-C36-1523546973724	20	blocks a, c, g, d, b, h	None	103	markable_2	images/b47-a30-c36-1523546973724_20.png
B44-A42-C153-1524179624799	66	block e	None	209	markable_4	images/b44-a42-c153-1524179624799_66.png
B44-A42-C153-1524179624799	42	block c, d, h, a, b, e, g, f, i	None	120	markable_102	images/b44-a42-c153-1524179624799_42.png
B44-A42-C153-1524179624799	57	block b	None	148	markable_107	images/b44-a42-c153-1524179624799_57.png
B44-A42-C153-1524179624799	61	block a	None	183	markable_121	images/b44-a42-c153-1524179624799_61.png
B44-A42-C153-1524179624799	68	block e	place	220	markable_34	images/b44-a42-c153-1524179624799_68.png
B44-A42-C153-1524179624799	77	block b	None	259	markable_137	images/b44-a42-c153-1524179624799_77.png
B44-A42-C153-1524179624799	73	block d	None	241	markable_132	images/b44-a42-c153-1524179624799_73.png
B44-A42-C153-1524179624799	84	block f	None	272	markable_140	images/b44-a42-c153-1524179624799_84.png
B44-A42-C153-1524179624799	99	block i	None	325	markable_157	images/b44-a42-c153-1524179624799_99.png
B44-A20-C66-1523287015423	52	block j	None	162	markable_77	images/b44-a20-c66-1523287015423_52.png
B44-A20-C66-1523287015423	30	block a	None	110	markable_66	images/b44-a20-c66-1523287015423_30.png
B44-A20-C66-1523287015423	59	block f	None	192	markable_87	images/b44-a20-c66-1523287015423_59.png
B15-A38-C11-1523400016265	79	d,a,h,f	square	224	markable_74	images/b15-a38-c11-1523400016265_79.png
B15-A38-C11-1523400016265	79	f	block	219	markable_73	images/b15-a38-c11-1523400016265_79.png
B1-A3-C1-1522435497386	79	d,f,i,h,a,c,b,e,l,k,j,g	bell	387	markable_69	images/b1-a3-c1-1522435497386_79.png
B1-A3-C1-1522435497386	50	c	block	243	markable_104	images/b1-a3-c1-1522435497386_50.png
B1-A3-C1-1522435497386	56	i,f,d,a,c,b,g,h,e	row	286	markable_54	images/b1-a3-c1-1522435497386_56.png
B1-A3-C1-1522435497386	67	e,g,f,a,c,b,j,i,h	it	325	markable_115	images/b1-a3-c1-1522435497386_67.png
B1-A3-C1-1522435497386	67	e,g,f,a,c,b,j,i,h	square	320	markable_114	images/b1-a3-c1-1522435497386_67.png
B1-A3-C1-1522435497386	56	c,a,d	blocks	271	markable_109	images/b1-a3-c1-1522435497386_56.png
B1-A3-C1-1522435497386	33	a,b,c,d,e,f,g,h	this	160	markable_90	images/b1-a3-c1-1522435497386_33.png
B1-A3-C1-1522435497386	35	a,b,c,d,e,f,g,h	green	198	markable_96	images/b1-a3-c1-1522435497386_35.png
B1-A3-C1-1522435497386	79	e,l,j,k,g	bottom	384	markable_14	images/b1-a3-c1-1522435497386_79.png
